clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id,scenario
7,0.2198581560283688,2.025,0.3575148809523809,0.8543689320388349,42,12,83,mech_baseline
4,0.1986754966887417,2.6375,0.3859101868595539,0.8772727272727273,51,9,84,mech_baseline
4,0.1666666666666666,2.3,0.3930059523809524,0.883177570093458,52,10,85,mech_baseline
6,0.2179487179487179,2.125,0.3827232142857143,0.8654708520179372,51,14,86,mech_baseline
6,0.26,1.95,0.3389285714285714,0.8348623853211009,40,13,87,mech_baseline
4,0.1783439490445859,2.6625,0.3953571428571428,0.8898678414096917,53,10,88,mech_baseline
4,0.28,2.325,0.3447767857142857,0.8294930875576036,42,11,89,mech_baseline
5,0.3271604938271605,1.8625,0.3155952380952381,0.7991452991452992,35,8,90,mech_baseline
6,0.2784810126582278,1.9125,0.3331845238095238,0.8333333333333334,39,15,91,mech_baseline
4,0.2328767123287671,2.2625,0.3700892857142857,0.8525345622119815,43,12,92,mech_baseline
5,0.2658227848101265,2.375,0.3586607142857143,0.84,45,10,93,mech_baseline
4,0.1558441558441558,2.6125,0.4062053571428571,0.9009009009009008,55,9,94,mech_baseline
7,0.2119205298013245,2.75,0.3765625,0.874439461883408,51,14,95,mech_baseline
6,0.2327044025157232,2.35,0.3670089285714286,0.8552631578947368,46,11,96,mech_baseline
5,0.2364864864864864,2.0875,0.3530952380952381,0.8356164383561644,43,14,97,mech_baseline
8,0.2356687898089172,2.15,0.3600744047619048,0.8464912280701754,46,10,98,mech_baseline
6,0.1883116883116883,2.25,0.3892113095238095,0.8823529411764706,52,13,99,mech_baseline
27,0.4834437086092715,1.25,0.1757886904761904,0.5321100917431193,5,17,0,green_yellow
