run_id,scenario_key,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
38,llm_baseline,baseline,True,9.0,0.30624999999999997,59,0.4174041297935103,1.484375,0.21643601190476192,0.6136363636363636,59,0.1875,88,0.4846153846153846,1.190625,0.18453125,0.5210084033613446,16,13,14,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
39,llm_baseline,baseline,True,13.0,0.21874999999999997,52,0.4123867069486405,1.5625,0.23370535714285712,0.6444906444906445,70,0.1625,96,0.43613707165109034,1.209375,0.20293526785714286,0.5291005291005291,17,17,18,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
40,llm_baseline,baseline,True,8.0,0.15000000000000002,62,0.48338368580060426,1.303125,0.19009672619047618,0.5870020964360587,36,0.0875,92,0.5090361445783133,1.11875,0.16585193452380956,0.48739495798319327,4,12,13,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
41,llm_baseline,baseline,True,14.0,0.24375,67,0.47218045112781953,1.353125,0.18497395833333335,0.5836864406779662,42,0.15625,103,0.49768875192604006,1.128125,0.16027157738095238,0.4989429175475687,6,18,19,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
42,llm_baseline,baseline,True,9.0,0.11875,56,0.48522550544323484,1.403125,0.21192708333333332,0.6094736842105263,42,0.1,109,0.4984520123839009,1.15625,0.17150669642857141,0.4989384288747346,10,13,14,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
43,llm_baseline,baseline,True,7.0,0.18125000000000002,64,0.492603550295858,1.328125,0.18656250000000002,0.5854922279792746,34,0.06875,104,0.5075528700906344,1.128125,0.159765625,0.48893572181243417,11,11,12,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
44,llm_baseline,baseline,True,7.0,0.2,54,0.4561933534743202,1.384375,0.21345238095238095,0.604012671594509,52,0.13125000000000003,91,0.5238828967642527,1.146875,0.1782291666666667,0.5005291005291005,13,11,12,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
45,llm_baseline,baseline,True,6.0,0.2625,51,0.46096096096096095,1.5625,0.2123065476190476,0.619348054679285,62,0.1375,99,0.506079027355623,1.146875,0.1577641369047619,0.4963350785340314,7,10,11,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
46,llm_baseline,baseline,True,13.0,0.2375,47,0.42921013412816694,1.484375,0.23503720238095238,0.659114315139032,70,0.11250000000000003,102,0.4838709677419355,1.1625,0.1672953869047619,0.498416050686378,11,17,18,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
47,llm_baseline,baseline,True,6.0,0.2125,75,0.4903417533432392,1.321875,0.1917373511904762,0.5814432989690722,42,0.13124999999999998,115,0.5030487804878049,1.125,0.15659598214285714,0.4894291754756871,9,10,11,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
48,llm_baseline,baseline,True,4.0,0.275,54,0.4863636363636364,1.40625,0.1995982142857143,0.5947916666666667,41,0.15625000000000003,95,0.5030769230769231,1.140625,0.16784598214285715,0.4889589905362776,10,8,9,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
49,llm_baseline,baseline,True,13.0,0.18125000000000002,53,0.4801829268292683,1.378125,0.2020982142857143,0.6178947368421053,46,0.13749999999999998,99,0.49924585218702866,1.15625,0.16567024929093893,0.5089192025183631,8,17,18,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
50,llm_baseline,baseline,True,6.0,0.21875,55,0.4580265095729013,1.390625,0.20981026785714282,0.6180698151950719,52,0.11249999999999999,103,0.47470238095238093,1.146875,0.17177083333333332,0.4860392967942089,8,10,11,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
51,llm_baseline,baseline,True,15.0,0.23125,50,0.44040697674418605,1.4375,0.21473586309523807,0.611740473738414,53,0.14375,93,0.532608695652174,1.14375,0.17298363095238095,0.47468354430379744,11,19,20,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
52,llm_baseline,baseline,True,5.0,0.11249999999999999,65,0.47155688622754494,1.35625,0.19613839285714285,0.5927461139896373,44,0.10625000000000004,97,0.5052790346907994,1.14375,0.16851934523809525,0.4911550468262227,8,9,10,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
